,nsites,nelements,volume,density,density_atomic,uncorrected_energy_per_atom,energy_per_atom,formation_energy_per_atom,energy_above_hull,equilibrium_reaction_energy_per_atom,band_gap,efermi,total_magnetization,total_magnetization_normalized_vol,total_magnetization_normalized_formula_units,num_magnetic_sites,num_unique_magnetic_sites,k_voigt,k_reuss,k_vrh,g_voigt,g_reuss,g_vrh,universal_anisotropy,homogeneous_poisson
mp-864920,4,3,74.92489878468801,11.291063409156703,18.731224696172003,-4.78142065,-4.78142065,-0.6074844800000001,0.0,-0.05593195750000035,0.0,5.12415913,7.3e-06,9.74308957156958e-08,7.3e-06,0,0,116.83828273463479,116.8382827346347,116.83828273463475,36.59021637669603,27.9278084176025,32.25901239714926,1.550857093683323,0.37358457936562994
mp-2776,3,2,56.95870464350534,9.807565267084506,18.986234881168446,-3.3481396866666664,-3.3481396866666664,-0.23811500499999974,0.0,-0.08513651999999983,0.0,4.07308007,6e-07,1.053394742305493e-08,6e-07,0,0,73.48385043261665,73.48385043261666,73.48385043261666,16.198478364647194,8.63102793748198,12.414753151064588,4.383863939486302,0.42003081007934256
mp-866086,4,3,53.52529980267645,13.551799806299096,13.381324950669113,-6.7221089625,-6.7221089625,-0.5464923524999996,0.0,-0.026888483980261668,0.0,10.02761156,0.0,0.0,0.0,0,0,213.85096751157732,213.8509675115774,213.85096751157738,88.01727748638947,87.72885440165167,87.87306594402057,0.016438325035984747,0.3192968106264093
mp-1102,2,2,26.354606210014218,11.906769120713001,13.177303105007109,-8.30624477,-8.48674477,-2.0580220474999997,0.0,-2.0580220474999997,0.23309999999999986,4.01818412,0.0,0.0,0.0,0,0,179.46948314120544,179.46948314120547,179.46948314120544,145.273805680985,145.26432847727062,145.2690670791278,0.00032620547018336055,0.18127721716907289
mp-570379,10,4,292.88153282799675,3.744453496930802,29.288153282799676,-4.052466306,-4.420866306,-2.4896764969195404,0.0,-0.050455586374999584,5.3872,-0.51336849,5.63e-05,1.9222789315659524e-07,5.63e-05,0,0,19.788623016698416,19.788623016698416,19.788623016698416,10.369125673384476,8.608696558121942,9.488911115753208,1.0224713482331094,0.29328426233666965
mp-23350,9,3,248.1028406965501,3.873459858066377,27.566982299616676,-3.3511839811111113,-3.7605173144444444,-1.6356927116666666,0.0,-0.25765406898148147,1.9459,-0.39180719,0.0,0.0,0.0,0,0,10.971054274100265,10.971054274100267,10.971054274100265,6.214567139061857,6.160506061534719,6.187536600298288,0.043877140114094715,0.2626307192069535
mp-861616,4,3,69.50852711588412,6.905796391382515,17.37713177897103,-6.5196342,-6.5196342,-0.6665603858333329,0.0,-0.06727926101190373,0.0,4.78698143,3e-07,4.316017220446092e-09,3e-07,0,0,99.11703225322702,99.11703225322702,99.11703225322702,37.0618857624322,36.90381756230809,36.982851662370145,0.021416239642040757,0.33407524795081095
mp-864906,4,3,63.00243278430109,13.901838888312692,15.750608196075273,-6.160528465,-6.160528465,-0.3388483987499997,0.0,-0.002764923749996484,0.0,9.48371026,3.9e-06,6.190237150606983e-08,3.9e-06,0,0,177.8121624869865,177.81216248698647,177.8121624869865,54.74078007156137,-43.60448682358622,5.568146623987573,-11.27696643845736,0.48450436339910014
mp-867821,4,3,54.61569182760169,10.297582404795573,13.653922956900422,-9.79973872,-9.79973872,-0.28041366229885156,0.0,-0.07295312781250018,0.0,6.0513343,0.6171553,0.011299963057285707,0.6171553,4,3,217.39864905102445,217.39864905102445,217.39864905102445,94.46000117227784,83.91882691587708,89.18941404407747,0.6280577698594128,0.3195484722680678
mp-862318,4,3,49.683244751491365,3.997248652956416,12.420811187872841,-4.265462625,-4.265462625,-0.47040982333333314,0.0,-0.026051691249999287,0.0,7.94366625,4.5e-06,9.057379449567697e-08,4.5e-06,0,0,101.99829982666928,101.9982998266693,101.9982998266693,71.62632709683118,46.59718473630606,59.11175591656862,2.685692547968861,0.25714593923646034
